sentence,word,pos,tag,local
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,from,ADP,IN,from studio gangster to synthetic gangster 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,studio,NOUN,NN,from studio gangster to synthetic gangster 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,gangster,NOUN,NN,from studio gangster to synthetic gangster 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,to,ADP,IN,from studio gangster to synthetic gangster 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,synthetic,ADJ,JJ,from studio gangster to synthetic gangster 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,gangster,NOUN,NN,from studio gangster to synthetic gangster 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,;,PUNCT,:,
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,we,PRON,PRP, we investigate how we suspect the created the drake and the weeknd generative ai track 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,investigate,VERB,VBP, we investigate how we suspect the created the drake and the weeknd generative ai track 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,how,SCONJ,WRB, we investigate how we suspect the created the drake and the weeknd generative ai track 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,we,PRON,PRP, we investigate how we suspect the created the drake and the weeknd generative ai track 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,suspect,VERB,VBP, we investigate how we suspect the created the drake and the weeknd generative ai track 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,the,DET,DT,from studio gangster to synthetic gangster 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,created,VERB,VBN, we investigate how we suspect the created the drake and the weeknd generative ai track 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,the,DET,DT,from studio gangster to synthetic gangster 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,drake,PROPN,NNP, we investigate how we suspect the created the drake and the weeknd generative ai track 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,and,CCONJ,CC, we investigate how we suspect the created the drake and the weeknd generative ai track 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,the,DET,DT,from studio gangster to synthetic gangster 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,weeknd,PROPN,NNP, we investigate how we suspect the created the drake and the weeknd generative ai track 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,generative,PROPN,NNP, we investigate how we suspect the created the drake and the weeknd generative ai track 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,ai,NOUN,NN, we investigate how we suspect the created the drake and the weeknd generative ai track 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,track,NOUN,NN, we investigate how we suspect the created the drake and the weeknd generative ai track 
from studio gangster to synthetic gangster ; we investigate how we suspect the created the drake and the weeknd generative ai track ;,;,PUNCT,:,
took me some time to find this . i build this in dec 2018 . it is a reality today,took,VERB,VBD,took me some time to find this 
took me some time to find this . i build this in dec 2018 . it is a reality today,me,PRON,PRP,took me some time to find this 
took me some time to find this . i build this in dec 2018 . it is a reality today,some,DET,DT,took me some time to find this 
took me some time to find this . i build this in dec 2018 . it is a reality today,time,NOUN,NN,took me some time to find this 
took me some time to find this . i build this in dec 2018 . it is a reality today,to,PART,TO,took me some time to find this 
took me some time to find this . i build this in dec 2018 . it is a reality today,find,VERB,VB,took me some time to find this 
took me some time to find this . i build this in dec 2018 . it is a reality today,this,DET,DT,took me some time to find this 
took me some time to find this . i build this in dec 2018 . it is a reality today,.,PUNCT,.,
took me some time to find this . i build this in dec 2018 . it is a reality today,i,PRON,PRP,took me some time to find this 
took me some time to find this . i build this in dec 2018 . it is a reality today,build,VERB,VBP, i build this in dec 2018 
took me some time to find this . i build this in dec 2018 . it is a reality today,this,DET,DT,took me some time to find this 
took me some time to find this . i build this in dec 2018 . it is a reality today,in,ADP,IN,took me some time to find this 
took me some time to find this . i build this in dec 2018 . it is a reality today,dec,PROPN,NNP, i build this in dec 2018 
took me some time to find this . i build this in dec 2018 . it is a reality today,2018,NUM,CD, i build this in dec 2018 
took me some time to find this . i build this in dec 2018 . it is a reality today,.,PUNCT,.,
took me some time to find this . i build this in dec 2018 . it is a reality today,it,PRON,PRP, it is a reality today
took me some time to find this . i build this in dec 2018 . it is a reality today,is,AUX,VBZ,took me some time to find this 
took me some time to find this . i build this in dec 2018 . it is a reality today,a,DET,DT, it is a reality today
took me some time to find this . i build this in dec 2018 . it is a reality today,reality,NOUN,NN, it is a reality today
took me some time to find this . i build this in dec 2018 . it is a reality today,today,NOUN,NN, it is a reality today
